,Property Name,Borough,yb,ppt,Property Type,Occupancy,seui,ngu,eu,tge,wu
34022,35-55 73rd St. LLC,Queens,1937,Multifamily Housing,Multifamily,100,126.8,8301514.1,1608981.2,713.8,2747.6
34023,Fisher: 74-10 35th Ave,Queens,1954,Multifamily Housing,Multifamily,100,175.1,16573399.2,2655330.8,1100.5,11680.5
34024,Argo - 35-38 75th Street,Queens,1950,Multifamily Housing,Multifamily,100,106.4,9424425.5,2058761.5,856.7,7950.3
34025,Ceebraid: 75-08 35 Ave,Queens,1950,Multifamily Housing,Multifamily,100,109.6,5971999.6,941650.6,482.3,8727.1
34026,76th Street Realty Co LLC,Queens,1954,Multifamily Housing,Multifamily,100,109.9,4046800.2,746204.5,276.8,16217.966089617938
34027,76th Street Owners Corp.,Queens,1940,Multifamily Housing,Multifamily,100,123.7,197441.9,1427417.5,775.2,4420.2
34028,BL Management: 35-35 75th St,Queens,1941,Multifamily Housing,Multifamily,100,105.5,24384312.42738699,1555066.7,584.0,8338.3
34029,Norcor - 35-15 75th Street,Queens,1939,Multifamily Housing,Multifamily,100,94.6,3495410.3,714459.0,244.9,3879.8
34030,The Warwick,Queens,1940,Multifamily Housing,Multifamily,100,98.5,5037339.0,826213.7,413.0,3582.4
34031,Wavecrest - 77-12 35th Ave,Queens,1937,Multifamily Housing,Multifamily,100,137.3,8195390.7,1446053.6,668.1,3605.6
34032,Wavecrest - 35-24 78th St,Queens,1938,Multifamily Housing,Multifamily,100,99.6,6078021.0,1670412.9,461.4,3857.0
34033,35-53 77 Street - 28301,Queens,1937,Multifamily Housing,Multifamily,100,88.8,3985249.1,708952.6,270.5,2508.8
34034,Wavecrest - 35-25 77th St,Queens,1937,Multifamily Housing,Multifamily,100,108.2,5986421.1,1628992.1,552.8,3183.0
34035,SLJ: 35-50 78th Street,Queens,1937,Multifamily Housing,Multifamily,100,212.3,8873298.8,733897.4,532.2,16217.966089617938
34036,78-12 35th Avenue - 32499,Queens,1938,Multifamily Housing,Multifamily,100,128.5,7024064.5,1230773.7,623.6,4339.4
34037,Ceebraid: 79-06 35 Ave,Queens,1950,Multifamily Housing,Multifamily,100,109.9,6580600.4,1125175.2,442.8,7647.2
34038,37 AVE REALTY CORP,Queens,1929,Multifamily Housing,Multifamily,100,158.7,7364148.2,2732958.1,617.8,6856.0
34039,AAR: 35-45 79th Street,Queens,1939,Multifamily Housing,Multifamily,100,103.3,5421600.1,981066.0,400.1,5417.4
34040,Lovett - 35-21 79th Street,Queens,1948,Multifamily Housing,Multifamily,100,109.6,3687501.4,1278983.8,301.9,3291.1
34041,80-08 35th Avenue,Queens,1950,Multifamily Housing,Multifamily,100,159.8,5128700.4,2454109.2,710.0,16217.966089617938
34042,ARIS: 35-30 81st Street,Queens,1939,Multifamily Housing,Multifamily,100,83.3,4804600.2,1097527.8,372.4,4302.8
34043,35-50 81 ST REALTY,Queens,1951,Multifamily Housing,Multifamily,100,111.1,24384312.42738699,1541259.3,317.3,4049.2
34044,Ravenna,Queens,1929,Multifamily Housing,Multifamily,100,131.8,7226800.1,1883318.2,540.0,6228.3
34045,35-40 82nd Street,Queens,1936,Multifamily Housing,Multifamily,100,91.8,4044312.5,980223.1,296.1,2839.9
34046,35-45 81st St. Owners Corp,Queens,1937,Multifamily Housing,Multifamily,100,126.4,85840.0,695292.8,454.7,2677.3
34047,VIS - Maple Court Apts Inc.: 35-21 81st Street,Queens,1930,Multifamily Housing,Multifamily,100,99.6,4842299.6,891002.5,331.1,3807.6
34048,70-35 Broadway - 37698,Queens,1927,Multifamily Housing,Multifamily,100,134.8,9400017.3,1620287.7,633.7,15742.8
34049,Fisher: 72-10 37 Ave,Queens,1953,Multifamily Housing,Multifamily,100,150.7,6355200.1,1568052.9,467.6,5165.3
34050,Lovett - 37-30 73rd Street,Queens,1962,Multifamily Housing,Multifamily,100,137.3,5358345.8,1552881.2,413.4,4058.9
34051,37-15 72nd St,Queens,1927,Multifamily Housing,Multifamily,100,78.9,24384312.42738699,642354.1,264.5,16217.966089617938
34052,The Birchwood House,Queens,1962,Multifamily Housing,Multifamily,100,142.2,9220771.0,3589700.1,926.1,7651.8
34053,Fisher: 37-09 75 St,Queens,1951,Multifamily Housing,Multifamily,100,178.9,9120799.7,2401102.9,683.6,16217.966089617938
34054,Harlington: 37-55 77th Street,Queens,1931,Multifamily Housing,Multifamily,100,179.0,6374699.3,889484.5,491.5,5807.9
34055,CQ- 37-06 80 Street,Queens,1921,Multifamily Housing,Multifamily,100,221.2,13025800.2,2617027.9,908.9,16217.966089617938
34056,BRGNY03720 37-20 81st Street,Queens,1925,Multifamily Housing,Multifamily,100,127.0,6504179.6,1009181.0,429.2,16217.966089617938
34057,VIS - Evergreen Owners: 37-21 80th Street,Queens,1928,Multifamily Housing,Multifamily,100,118.7,5279719.7,1283430.6,407.5,7608.4
34058,37-41 81 St,Queens,1926,Multifamily Housing,Multifamily,100,129.5,24384312.42738699,773683.1,440.6,16217.966089617938
34059,ALM06107W 6107 Woodside Ave,Queens,1932,Multifamily Housing,Multifamily,100,174.1,8904800.0,903456.7,547.9,6552.9
34060,Winfield Tower,Queens,1963,Multifamily Housing,Multifamily,100,149.0,654915.6,1224608.4,638.0,6702.6
34061,Pinnacle - 72-09 - 72-19 41st Ave,Queens,1928,Multifamily Housing,Multifamily,100,144.1,5650486.2,787265.0,365.4,6562.7
34062,Silverstein - 67-14 41st Ave,Queens,1962,Multifamily Housing,Multifamily,100,108.1,5143618.8,1356124.3,444.5,16217.966089617938
34063,"1082_1387_72-10 41st Avenue, Queens",Queens,1970,Multifamily Housing,Multifamily,100,104.9,6005120.0,2696329.3,645.0,8642.7
34064,A&E - Queens - 41-26 73rd Street,Queens,1925,Multifamily Housing,Multifamily,100,128.1,4151826.1,686343.0,338.9,4573.9
34065,41-42 OWNERS CORP. c/o Douglaston Realty,Queens,1965,Multifamily Housing,Multifamily,100,130.8,5057599.8,1397707.4,406.0,4949.9
34066,41-41 51st Street,Queens,1950,Multifamily Housing,Multifamily,100,120.7,278100.0,1508165.4,582.1,6731.7
34067,41-31 Co-op Owners INC,Queens,1950,Multifamily Housing,Multifamily,100,23.0,333109.7,382787.3,49.4,16217.966089617938
34068,52-05 Queens Blvd.,Queens,2013,Multifamily Housing,Multifamily,100,129.8,2999191.2,1217847.2,260.3,1873.9
34069,"59-16 Woodside Avenue, Queens",Queens,1926,Multifamily Housing,Multifamily,100,84.3,15205.9,652305.6,378.8,8062.4
34070,Silverstein - 43-14 60th St,Queens,1955,Multifamily Housing,Multifamily,100,90.6,2932939.6,754144.5,262.8,16217.966089617938
34071,59-11 Queens Boulevard - 37497,Queens,1931,Multifamily Housing,Multifamily,100,97.0,5563564.5,1054116.4,382.9,5456.3
34072,59-29 Queens Blvd.,Queens,1935,Multifamily Housing,Multifamily,100,109.1,152400.0,948778.3,458.4,6769.0
34073,America 43 Ave,Queens,1962,Multifamily Housing,Multifamily,90,108.0,24384312.42738699,2942508.8,244.0,3435.8
34074,Wavecrest - 61-20 Woodside Ave,Queens,1942,Multifamily Housing,Multifamily,100,175.6,3993185.4,1392348.5,382.8,5197.7
34075,62-10 Woodside Avenue,Queens,1922,Multifamily Housing,Multifamily,100,157.2,5175972.0,1473057.2,397.1,4683.4
34076,QUEENS BOULEVARD EXTENDED CARE FACILITY,Queens,1995,Senior Care Community,Other,100,237.9,12893102.4,7050928.2,1269.6,10124.2
34077,(6631) - Coronet Owners Inc.,Queens,1963,Multifamily Housing,Multifamily,100,128.4,8164228.6,2528061.9,720.7,7022.7
34078,26-49 96th Street - 25181,Queens,1927,Multifamily Housing,Multifamily,100,145.5,4883136.2,1251082.8,363.1,8749.2
34079,Northridge Coop Sec III,Queens,1952,Multifamily Housing,Multifamily,100,129.7,23609682.3,7348360.3,2177.1,8444.0
34080,Northridge Coop Section II,Queens,1953,Multifamily Housing,Multifamily,100,133.8,24182449.4,7886880.5,2335.9,19200.8
