,Property Name,Borough,yb,ppt,Property Type,Occupancy,seui,ngu,eu,tge,wu
29202,3810 BROADWAY,Manhattan,1908,Multifamily Housing,Multifamily,100,143.5,279800.0,1334027.2,474.2,4682.8
29203,564 West 160th Street,Manhattan,1910,Multifamily Housing,Multifamily,100,141.2,2200958.9,1516854.6,463.8,9231.1
29204,MNM: 2036 Amsterdam Avenue,Manhattan,1983,Multifamily Housing,Multifamily,100,137.5,9305100.2,2802357.4,726.6,12673.6
29205,Three In One Equities LLC - 505,Manhattan,1922,Multifamily Housing,Multifamily,100,245.0,6763291.7,2102797.6,533.6,4711.9
29206,545 West 164th Street,Manhattan,1915,Multifamily Housing,Multifamily,100,135.5,393600.0,1231037.6,615.4,16217.966089617938
29207,"GVS Properties, LLC/559W164St",Manhattan,1911,Multifamily Housing,Multifamily,100,143.2,5665939.7,870568.8,373.1,9005.4
29208,558 West 164th Street,Manhattan,1909,Multifamily Housing,Multifamily,100,145.7,357720.0,1038178.8,551.7,8843.9
29209,548  West 164th Street,Manhattan,1910,Multifamily Housing,Multifamily,95,156.1,6511018.2,912909.0,421.5,7473.6
29210,Stellar - 1061 St. Nicholas Ave,Manhattan,1958,Multifamily Housing,Multifamily,100,122.3,24384312.42738699,1132173.2,304.0,16217.966089617938
29211,Three In One Equities. LLC - 520,Manhattan,1922,Multifamily Housing,Multifamily,100,251.9,7326282.7,1785449.7,548.2,4312.6
29212,Audubon Realty Properties LLC,Manhattan,1937,Urgent Care/Clinic/Other Outpatient,Other,100,144.1,33053.6,3496266.9,291.7,2738.6
29213,Irving Cancer Research Center,Manhattan,2004,Office,Office,100,817.8,59529359.3,49318021.3,7768.2,22266.5
29214,Russ Berrie,Manhattan,1998,Office,Office,100,822.5,25220276.2,30634610.9,4111.3,17452.0
29215,(7218) - Woodrow Court,Manhattan,1910,Multifamily Housing,Multifamily,100,192.9,7050728.9,2808395.7,607.4,16217.966089617938
29216,C Uptown Realty: 567 West 170th St,Manhattan,1925,Multifamily Housing,Multifamily,100,109.0,1263500.0,1209492.6,351.8,5816.8
29217,590 West 172 Street (Recent),Manhattan,1912,Multifamily Housing,Multifamily,100,133.4,5613499.7,981049.3,379.6,8774.2
29218,575 West 172 street,Manhattan,1950,Multifamily Housing,Multifamily,100,70.9,130583.9,1199325.3,106.4,7828.9
29219,Gavrin 560 West 175th,Manhattan,1924,Multifamily Housing,Multifamily,100,135.9,3984255.1,922227.3,444.8,16217.966089617938
29220,500 West 175th Street,Manhattan,1900,Multifamily Housing,Multifamily,100,145.2,462835.0,1013943.9,537.3,16217.966089617938
29221,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),Manhattan,1988,Multifamily Housing,Multifamily,100,167.1,21627821.1,3657239.6,1452.1,16217.966089617938
29222,500 West 176th Street,Manhattan,1912,Multifamily Housing,Multifamily,100,158.8,431468.0,1154330.5,475.3,6650.9
29223,780 Riverside Drive,Manhattan,1914,Multifamily Housing,Multifamily,100,33.3,91200.0,1149594.9,100.2,16217.966089617938
29224,MARDAVE MANAGEMENT INC,Manhattan,1930,Multifamily Housing,Multifamily,100,101.7,307729.0,704381.3,497.7,16217.966089617938
29225,790 Riverside Drive Owners Inc.,Manhattan,1938,Multifamily Housing,Multifamily,100,78.0,572578.0,3430495.7,1521.8,16217.966089617938
29226,600 West 157th Street,Manhattan,1910,Multifamily Housing,Multifamily,100,166.1,762759.0,1616003.6,578.2,7357.1
29227,"156 Broadway Associates, LLC",Manhattan,1900,Multifamily Housing,Multifamily,100,96.5,2082794.7,1346161.4,456.9,4099.5
29228,800 Riverside Drive,Manhattan,1920,Multifamily Housing,Multifamily,100,79.7,7162229.1,1695617.6,660.1,4545.6
29229,JK: 765 Riverside Drive,Manhattan,1932,Multifamily Housing,Multifamily,100,74.9,380900.0,1391676.4,489.1,16217.966089617938
29230,156-20 Riverside Drive West - 42067,Manhattan,1963,Multifamily Housing,Multifamily,100,88.8,24384312.42738699,9145772.8,2889.7,28558.4
